 

stn    time           tre200h0  rre150h0  rre024i0
BUF    2019011400         -1.9       0.5      26.4
BUF    2019011401         -2.2       1.0      26.9
BUF    2019011402         -2.4       0.4      26.4
BUF    2019011403         -2.9       1.2      26.6
BUF    2019011404         -3.3       1.5      27.4
BUF    2019011405         -3.5       2.4      29.1
BUF    2019011406         -4.4       1.0      29.8
BUF    2019011407         -5.2       0.8      30.5
BUF    2019011408         -5.6       0.7      31.1
BUF    2019011409         -5.2       0.0      31.0
BUF    2019011410         -5.4       0.4      31.1
BUF    2019011411         -5.4       0.4      30.7
BUF    2019011412         -5.6       0.7      30.7
BUF    2019011413         -5.5       0.5      30.3
BUF    2019011414         -5.8       0.3      28.6
BUF    2019011415         -6.0       0.2      27.4
BUF    2019011416         -6.3       0.3      26.1
BUF    2019011417         -6.6       0.7      25.8
BUF    2019011418         -6.9       0.5      24.7
BUF    2019011419         -6.7       0.6      22.4
BUF    2019011420         -6.8       0.8      20.5
BUF    2019011421         -7.1       0.0      17.6
BUF    2019011422         -7.8       0.4      16.7
BUF    2019011423         -7.7       0.2      15.5
BUF    2019011500         -7.9       0.1      15.1
BUF    2019011501         -8.2       0.4      14.5
BUF    2019011502         -8.5       0.1      14.2
BUF    2019011503         -8.3       0.0      13.0
BUF    2019011504         -8.2       0.0      11.5
BUF    2019011505         -8.2       0.0       9.1
BUF    2019011506         -8.3       0.0       8.1
BUF    2019011507         -8.0       0.0       7.3
BUF    2019011508         -8.8       0.0       6.6
BUF    2019011509        -10.0       0.0       6.6
BUF    2019011510         -9.3       0.0       6.2
BUF    2019011511         -7.6       0.0       5.8
BUF    2019011512         -5.1       0.0       5.1
BUF    2019011513         -4.5       0.0       4.6
BUF    2019011514         -5.3       0.0       4.3
BUF    2019011515         -8.5       0.0       4.1
BUF    2019011516        -10.4       0.0       3.8
BUF    2019011517        -12.2       0.0       3.1
BUF    2019011518        -13.4       0.0       2.6
BUF    2019011519        -14.5       0.0       2.0
BUF    2019011520        -14.8       0.0       1.2
BUF    2019011521        -15.1       0.0       1.2
BUF    2019011522        -15.7       0.0       0.8
BUF    2019011523        -15.7       0.0       0.6
BUF    2019011600        -16.1       0.0       0.5
BUF    2019011601        -16.2       0.0       0.1
BUF    2019011602        -16.3       0.0       0.0
BUF    2019011603        -16.4       0.0       0.0
BUF    2019011604        -16.5       0.0       0.0
BUF    2019011605        -16.6       0.0       0.0
BUF    2019011606        -16.7       0.0       0.0
BUF    2019011607        -16.3       0.0       0.0
BUF    2019011608        -16.2       0.0       0.0
BUF    2019011609        -14.4       0.0       0.0
BUF    2019011610        -11.1       0.0       0.0
BUF    2019011611         -8.5       0.0       0.0
BUF    2019011612         -4.0       0.0       0.0
BUF    2019011613         -0.2       0.0       0.0
BUF    2019011614         -0.4       0.0       0.0
BUF    2019011615         -2.4       0.0       0.0
BUF    2019011616         -4.2       0.0       0.0
BUF    2019011617         -8.7       0.0       0.0
BUF    2019011618        -11.7       0.0       0.0
BUF    2019011619        -12.9       0.0       0.0
BUF    2019011620        -13.6       0.0       0.0
BUF    2019011621        -13.8       0.0       0.0
BUF    2019011622        -13.9       0.0       0.0
BUF    2019011623        -13.6       0.0       0.0
BUF    2019011700         -8.4       0.0       0.0
BUF    2019011701         -6.7       0.0       0.0
BUF    2019011702         -6.8       0.0       0.0
BUF    2019011703         -7.0       0.0       0.0
BUF    2019011704         -7.4       0.0       0.0
BUF    2019011705         -8.8       0.0       0.0
BUF    2019011706         -8.6       0.0       0.0
BUF    2019011707         -8.1       0.0       0.0
BUF    2019011708         -7.5       0.0       0.0
BUF    2019011709         -6.3       0.0       0.0
BUF    2019011710         -4.1       0.0       0.0
BUF    2019011711         -1.8       0.0       0.0
BUF    2019011712         -1.1       0.0       0.0
BUF    2019011713         -0.8       0.0       0.0
BUF    2019011714         -1.1       0.0       0.0
BUF    2019011715         -1.7       0.0       0.0
BUF    2019011716         -2.0       0.0       0.0
BUF    2019011717         -2.8       0.0       0.0
BUF    2019011718         -3.0       0.0       0.0
BUF    2019011719         -3.6       0.2       0.2
BUF    2019011720         -4.1       0.8       1.0
BUF    2019011721         -5.5       1.4       2.4
BUF    2019011722         -5.8       0.2       2.6
BUF    2019011723         -6.6       0.0       2.6
BUF    2019011800         -8.3       0.0       2.6
BUF    2019011801        -10.0       0.0       2.6
BUF    2019011802        -11.5       0.0       2.6
BUF    2019011803        -15.0       0.0       2.6
BUF    2019011804        -17.0       0.0       2.6
BUF    2019011805        -17.0       0.0       2.6
BUF    2019011806        -16.0       0.0       2.6
BUF    2019011807        -16.8       0.0       2.6
BUF    2019011808        -17.5       0.0       2.6
BUF    2019011809        -17.6       0.0       2.6
BUF    2019011810        -14.7       0.0       2.6
BUF    2019011811        -11.2       0.0       2.6
BUF    2019011812         -8.9       0.0       2.6
BUF    2019011813         -7.1       0.0       2.6
BUF    2019011814         -6.6       0.0       2.6
BUF    2019011815         -9.8       0.0       2.6
BUF    2019011816        -13.9       0.0       2.6
BUF    2019011817        -17.4       0.0       2.6
BUF    2019011818        -19.3       0.0       2.6
BUF    2019011819        -19.8       0.0       2.4
BUF    2019011820        -20.1       0.0       1.6
BUF    2019011821        -20.3       0.0       0.2
BUF    2019011822        -19.8       0.0       0.0
BUF    2019011823        -19.8       0.0       0.0
BUF    2019011900        -20.6       0.0       0.0
BUF    2019011901        -20.7       0.0       0.0
BUF    2019011902        -20.1       0.0       0.0
BUF    2019011903        -20.3       0.0       0.0
BUF    2019011904        -19.2       0.0       0.0
BUF    2019011905        -18.3       0.0       0.0
BUF    2019011906        -18.4       0.0       0.0
BUF    2019011907        -18.4       0.0       0.0
BUF    2019011908        -18.8       0.0       0.0
BUF    2019011909        -16.7       0.0       0.0
BUF    2019011910        -14.0       0.0       0.0
BUF    2019011911         -9.8       0.0       0.0
BUF    2019011912         -6.3       0.0       0.0
BUF    2019011913         -6.0       0.0       0.0
BUF    2019011914         -6.7       0.0       0.0
BUF    2019011915         -9.0       0.0       0.0
BUF    2019011916        -12.5       0.0       0.0
BUF    2019011917        -15.6       0.0       0.0
BUF    2019011918        -17.9       0.0       0.0
BUF    2019011919        -18.9       0.0       0.0
BUF    2019011920        -19.6       0.0       0.0
BUF    2019011921        -20.5       0.0       0.0
BUF    2019011922        -21.2       0.0       0.0
BUF    2019011923        -21.5       0.0       0.0
BUF    2019012000        -21.7       0.0       0.0
BUF    2019012001        -22.0       0.0       0.0
BUF    2019012002        -21.9       0.0       0.0
BUF    2019012003        -21.8       0.0       0.0
BUF    2019012004        -21.6       0.0       0.0
BUF    2019012005        -21.1       0.0       0.0
BUF    2019012006        -21.1       0.0       0.0
BUF    2019012007        -21.5       0.0       0.0
BUF    2019012008        -21.4       0.0       0.0
BUF    2019012009        -18.4       0.0       0.0
BUF    2019012010        -14.9       0.0       0.0
BUF    2019012011        -11.2       0.0       0.0
BUF    2019012012         -8.4       0.0       0.0
BUF    2019012013         -6.6       0.0       0.0
BUF    2019012014         -6.9       0.0       0.0
BUF    2019012015        -10.1       0.0       0.0
BUF    2019012016        -13.8       0.0       0.0
BUF    2019012017        -16.3       0.0       0.0
BUF    2019012018        -17.6       0.0       0.0
BUF    2019012019        -18.7       0.0       0.0
BUF    2019012020        -19.0       0.0       0.0
BUF    2019012021        -19.6       0.0       0.0
BUF    2019012022        -20.1       0.0       0.0
BUF    2019012023        -20.6       0.0       0.0
BUF    2019012100        -21.0       0.0       0.0
BUF    2019012101        -21.3       0.0       0.0
BUF    2019012102        -21.5       0.0       0.0
BUF    2019012103        -21.4       0.0       0.0
BUF    2019012104        -21.8       0.0       0.0
BUF    2019012105        -21.7       0.0       0.0
BUF    2019012106        -21.5       0.0       0.0
BUF    2019012107        -21.6       0.0       0.0
BUF    2019012108        -21.4       0.0       0.0
BUF    2019012109        -19.7       0.0       0.0
BUF    2019012110        -15.6       0.0       0.0
BUF    2019012111        -11.8       0.0       0.0
BUF    2019012112         -7.1       0.0       0.0
BUF    2019012113         -6.2       0.0       0.0
BUF    2019012114         -6.2       0.0       0.0
BUF    2019012115        -10.3       0.0       0.0
BUF    2019012116        -13.7       0.0       0.0
BUF    2019012117        -16.3       0.0       0.0
BUF    2019012118        -18.4       0.0       0.0
BUF    2019012119        -19.5       0.0       0.0
BUF    2019012120        -20.3       0.0       0.0
BUF    2019012121        -20.7       0.0       0.0
BUF    2019012122        -21.3       0.0       0.0
BUF    2019012123        -22.0       0.0       0.0
BUF    2019012200        -22.3       0.0       0.0
BUF    2019012201        -22.4       0.0       0.0
