ID,Longitude,Latitude,Temperature,Time,elevation
46723,13.5258319,52.4308507,1,2021-02-22T21:01:01Z,35
46723,13.5257851,52.4308343,2,2021-02-22T22:00:09Z,35
46723,13.5257851,52.4308398,2,2021-02-22T22:00:09Z,35
46723,13.5257851,52.4308398,2,2021-02-22T22:00:09Z,35
46723,13.5258531,52.4308355,2,2021-02-22T23:00:09Z,35
46723,13.5258422,52.4308386,2,2021-02-22T23:00:09Z,35
46723,13.5258531,52.4308355,2,2021-02-22T23:00:09Z,35
46723,13.5257644,52.4308256,2,2021-02-23T00:00:38Z,35
46723,13.5257644,52.4308256,2,2021-02-23T00:00:38Z,35
46723,13.5257644,52.4308256,2,2021-02-23T00:00:38Z,35
46723,13.5257811,52.4308458,3,2021-02-23T01:00:09Z,35
46723,13.5257811,52.4308458,3,2021-02-23T01:00:09Z,35
46723,13.5257702,52.4308544,3,2021-02-23T01:00:09Z,35
46723,13.5258108,52.4308056,3,2021-02-23T02:00:09Z,35
46723,13.5258108,52.4308056,3,2021-02-23T02:00:09Z,35
46723,13.5257999,52.4308142,3,2021-02-23T02:00:09Z,35
46723,13.5258216,52.4308135,2,2021-02-23T03:00:37Z,35
46723,13.5258216,52.4308135,2,2021-02-23T03:00:37Z,35
46723,13.5258216,52.430808,2,2021-02-23T03:00:37Z,35
46723,13.5258314,52.4308855,2,2021-02-23T04:00:10Z,35
46723,13.5258205,52.4308886,2,2021-02-23T04:00:10Z,35
46723,13.5258314,52.4308855,2,2021-02-23T04:00:10Z,35
46723,13.5257576,52.4308556,2,2021-02-23T05:00:36Z,35
46723,13.5257576,52.4308611,2,2021-02-23T05:00:36Z,35
46723,13.5257576,52.4308611,2,2021-02-23T05:00:36Z,35
46723,13.5258136,52.4309077,4,2021-02-23T06:00:09Z,35
46723,13.5258102,52.4309007,4,2021-02-23T06:00:09Z,35
46723,13.5258102,52.4309007,4,2021-02-23T06:00:09Z,35
46723,13.5257999,52.4308252,8,2021-02-23T07:00:36Z,35
46723,13.5257999,52.4308306,8,2021-02-23T07:00:36Z,35
46723,13.5257999,52.4308306,8,2021-02-23T07:00:36Z,35
46723,13.5257702,52.4308653,12,2021-02-23T08:00:09Z,35
46723,13.5257845,52.4308637,12,2021-02-23T08:00:09Z,35
46723,13.5257845,52.4308637,12,2021-02-23T08:00:09Z,35
46723,13.5257644,52.4308256,18,2021-02-23T09:00:22Z,35
46723,13.5257753,52.430817,18,2021-02-23T09:00:22Z,35
46723,13.5257753,52.430817,18,2021-02-23T09:00:22Z,35
46723,13.5257851,52.4308069,21,2021-02-23T10:00:36Z,35
46723,13.5257851,52.4308014,21,2021-02-23T10:00:36Z,35
46723,13.5257851,52.4308069,21,2021-02-23T10:00:36Z,35
46723,13.5257673,52.4308509,25,2021-02-23T11:00:09Z,35
46723,13.5257673,52.4308509,25,2021-02-23T11:00:09Z,35
46723,13.5257565,52.4308595,25,2021-02-23T11:00:09Z,35
46723,13.5258136,52.4308419,25,2021-02-23T12:00:36Z,35
46723,13.5258136,52.4308474,25,2021-02-23T12:00:36Z,35
46723,13.5258136,52.4308474,25,2021-02-23T12:00:36Z,35
46723,13.5258457,52.43084,24,2021-02-23T13:00:08Z,35
46723,13.5258457,52.43084,24,2021-02-23T13:00:08Z,35
46723,13.5258491,52.4308415,24,2021-02-23T13:00:08Z,35
46723,13.5258359,52.4307625,19,2021-02-23T14:00:32Z,35
46723,13.5258216,52.4307642,19,2021-02-23T14:00:32Z,35
46723,13.5258359,52.4307625,19,2021-02-23T14:00:32Z,35
46723,13.525788,52.4308925,16,2021-02-23T15:00:10Z,35
46723,13.525777100000001,52.4309011,16,2021-02-23T15:00:10Z,35
46723,13.525788,52.4308925,16,2021-02-23T15:00:10Z,35
46723,13.5258491,52.4308305,13,2021-02-23T16:00:38Z,35
46723,13.5258634,52.4308343,13,2021-02-23T16:00:38Z,35
46723,13.5258634,52.4308343,13,2021-02-23T16:00:38Z,35
46723,13.5257713,52.4308504,11,2021-02-23T17:00:10Z,35
46723,13.5257822,52.4308473,11,2021-02-23T17:00:10Z,35
46723,13.5257822,52.4308473,11,2021-02-23T17:00:10Z,35
46723,13.5257867,52.4308612,10,2021-02-23T18:00:36Z,35
46723,13.5257867,52.4308612,10,2021-02-23T18:00:36Z,35
46723,13.5257724,52.4308574,10,2021-02-23T18:00:36Z,35
46723,13.5257702,52.4308544,9,2021-02-23T19:00:09Z,35
46723,13.5257702,52.4308544,9,2021-02-23T19:00:09Z,35
46723,13.5257702,52.4308544,9,2021-02-23T19:00:09Z,35
46723,13.5256381,52.4309172,8,2021-02-23T20:00:09Z,34
46723,13.5256273,52.4309258,8,2021-02-23T20:00:09Z,34
46723,13.5256381,52.4309172,8,2021-02-23T20:00:09Z,34
46723,13.5258526,52.4308429,7,2021-02-23T21:00:37Z,35
46723,13.525856,52.4308444,7,2021-02-23T21:00:37Z,35
46723,13.5258526,52.4308429,7,2021-02-23T21:00:37Z,35
46723,13.5257988,52.4308565,7,2021-02-23T22:00:09Z,35
46723,13.5257988,52.430851,7,2021-02-23T22:00:09Z,35
46723,13.5257988,52.4308565,7,2021-02-23T22:00:09Z,35
46723,13.5257708,52.4308414,7,2021-02-23T23:00:08Z,35
46723,13.5257565,52.4308376,7,2021-02-23T23:00:08Z,35
46723,13.5257708,52.4308414,7,2021-02-23T23:00:08Z,35
