Longitude,Latitude,Time,elevation
10.117573195687,46.7706298879547,2020-02-18T02:00:41Z,1463
10.1198243892346,46.7659575065045,2020-02-18T03:00:07Z,1416
10.123212583921,46.7639798499262,2020-02-18T04:00:16Z,1529
10.1241185865031,46.7632984887384,2020-02-18T05:00:36Z,1553
10.1247761030362,46.7631911406062,2020-02-18T06:00:42Z,1560
10.12833363887,46.7622999059826,2020-02-18T07:00:45Z,1666
10.1282581690191,46.7621816880583,2020-02-18T08:00:45Z,1666
10.1283929754475,46.7621435055456,2020-02-18T09:01:06Z,1666
10.1283257857877,46.7620913238585,2020-02-18T10:00:41Z,1666
10.1283092256781,46.7620085364707,2020-02-18T11:00:42Z,1666
10.1282738040346,46.7619966860038,2020-02-18T12:00:42Z,1666
10.1275344306282,46.7623075207477,2020-02-18T13:00:17Z,1669
10.1275270743089,46.7623491003193,2020-02-18T14:00:35Z,1669
10.1270757196711,46.7624688309642,2020-02-18T15:00:15Z,1627
10.1257234640231,46.7624056432606,2020-02-18T16:00:42Z,1606
10.1250296171328,46.7621132370176,2020-02-18T17:00:16Z,1633
10.1234868695563,46.7623485541514,2020-02-18T18:00:41Z,1613
10.1234518941946,46.7625545331187,2020-02-18T19:00:06Z,1575
10.1236143126292,46.7626861611036,2020-02-18T20:00:42Z,1575
10.1237408386103,46.7627682990917,2020-02-18T21:00:15Z,1575
10.1237790319524,46.7627195091513,2020-02-18T22:00:42Z,1575
10.1237790319524,46.7627379908124,2020-02-18T23:00:42Z,1575
10.1234357841341,46.7627881447123,2020-02-19T00:00:14Z,1573
10.1237601665421,46.7627534828521,2020-02-19T01:00:42Z,1575
10.1237436014739,46.7627446218958,2020-02-19T02:00:08Z,1575
10.1237767315778,46.7627130593836,2020-02-19T03:00:42Z,1575
10.1237730498129,46.7627461706586,2020-02-19T04:00:09Z,1575
10.1237804133358,46.7627230719993,2020-02-19T05:00:42Z,1575
10.1238788630288,46.7631614496983,2020-02-19T06:00:08Z,1551
10.1241802420562,46.7635258664647,2020-02-19T07:00:08Z,1553
10.1280783278183,46.7626343310039,2020-02-19T08:00:41Z,1627
10.1281864457147,46.7626202078492,2020-02-19T09:01:03Z,1622
10.1282273959926,46.7626786457695,2020-02-19T10:00:16Z,1622
10.1281321611947,46.7626916169526,2020-02-19T11:00:42Z,1627
