Longitude,Latitude,Time,Temperature,elevation
10.1854795,46.6410256,2019-06-10T06:01:07Z,27,1847
10.1923997,46.6416864,2019-06-10T10:00:33Z,21,2031
10.1915364,46.6427809,2019-06-10T14:00:57Z,19,2041
10.2070811,46.65119,2019-06-10T18:00:33Z,11.5,2257
10.2102634,46.6634959,2019-06-10T20:00:19Z,11.5,1796
10.2112158,46.6634005,2019-06-10T22:00:33Z,13,1797
10.2112158,46.6634005,2019-06-11T02:01:10Z,14,1797
10.1943087,46.6487366,2019-06-11T06:01:07Z,23,2041
10.224946,46.6438751,2019-06-11T10:01:07Z,28.5,2404
10.224946,46.6438751,2019-06-11T14:01:10Z,26,2404
10.224946,46.6438751,2019-06-11T18:01:10Z,24,2404
10.224946,46.6438751,2019-06-11T20:01:10Z,11,2404
10.210214,46.6635986,2019-06-11T22:00:33Z,10,1795
10.210214,46.6635986,2019-06-12T02:01:10Z,11.5,1795
10.1993927,46.6503476,2019-06-12T06:01:09Z,22,2126
10.1993927,46.6503476,2019-06-12T10:01:10Z,13.5,2126
10.1743796,46.6540948,2019-06-12T14:01:10Z,28.5,1726
10.1743796,46.6540948,2019-06-12T18:01:10Z,11.5,1726
10.1855039,46.6410381,2019-06-12T20:00:33Z,16.5,1847
10.1856166,46.6410193,2019-06-12T22:00:35Z,14.5,1863
10.1856166,46.6410193,2019-06-13T02:01:10Z,13.5,1863
10.185464,46.6410811,2019-06-13T06:00:35Z,15,1847
10.185464,46.6410811,2019-06-13T10:01:10Z,23,1847
10.185464,46.6410811,2019-06-13T14:01:10Z,23,1847
10.1854993,46.6410499,2019-06-13T18:00:33Z,18.5,1847
10.1855039,46.6410381,2019-06-13T20:00:33Z,11,1847
10.1854663,46.6410566,2019-06-13T22:00:51Z,18,1847
10.1854979,46.6410524,2019-06-14T02:00:33Z,21,1847
10.1843799,46.6409183,2019-06-14T06:00:34Z,17,1826
10.1843799,46.6409183,2019-06-14T10:01:10Z,23.5,1826
10.1849795,46.6426842,2019-06-14T14:00:33Z,24.5,1868
10.2088721,46.6633422,2019-06-14T18:00:33Z,16,1792
10.2002798,46.6618248,2019-06-14T20:00:13Z,12.5,1776
10.2114299,46.6631343,2019-06-14T22:00:33Z,12,1799
10.1713933,46.6168849,2019-06-15T02:01:10Z,12.5,2383
10.1713933,46.6168849,2019-06-15T06:01:10Z,21.5,2383
10.1713933,46.6168849,2019-06-15T10:01:10Z,25,2383
10.193839,46.6415382,2019-06-15T14:00:35Z,22.5,2046
10.1853032,46.641089,2019-06-15T18:00:35Z,24.5,1847
10.1853032,46.641089,2019-06-15T20:01:10Z,11.5,1847
10.1855431,46.6410857,2019-06-15T22:00:35Z,18,1863
10.1854561,46.6410775,2019-06-16T02:00:58Z,23,1847
10.1852923,46.6410894,2019-06-16T06:00:33Z,19,1847
10.1855873,46.6410979,2019-06-16T10:01:06Z,27.5,1863
