Product Type: Litetrack Iridium-150
Product ID: 91037
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
21.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,8.0,0,0
21.05.2019 08:01:07,47.0939503,10.7425809,155.99,70,26.0,6,4
21.05.2019 12:01:10,47.0935147,10.7113624,1667.29,70,27.5,6.2,4
21.05.2019 16:01:07,47.0960951,10.7379872,-0.09,70,20.0,4.6,3
21.05.2019 20:01:10,0.0000000,0.0000000,0.00,70,10.5,0,0
21.05.2019 22:00:35,47.0905867,10.7058369,1493.45,36,10.5,1.6,7
22.05.2019 00:00:04,47.0905399,10.7042369,1554.26,6,20.5,6.4,4
22.05.2019 04:01:04,47.0925369,10.7058421,142.32,70,26.5,1.6,4
22.05.2019 08:01:07,47.0921230,10.7063277,1569.49,70,28.5,4.2,4
22.05.2019 12:01:10,47.0948097,10.7068284,1121.15,70,19.5,2.4,4
22.05.2019 16:01:03,47.0926399,10.7061948,1591.15,65,28.0,2.8,5
22.05.2019 20:00:33,47.0921746,10.7062599,1568.25,35,25.0,2,7
22.05.2019 22:00:28,47.0852599,10.7070921,1459.73,30,9.5,3,5
23.05.2019 00:01:07,47.0664910,10.7150074,0.11,70,20.5,15.6,3
23.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,20.0,0,0
23.05.2019 08:01:06,47.0931015,10.7108470,1740.03,70,29.5,3.2,4
23.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
23.05.2019 16:01:06,47.0926483,10.7154396,1861.96,70,27.5,5.8,4
23.05.2019 20:00:33,47.0916648,10.7144629,1767.03,30,15.0,4.2,5
23.05.2019 22:00:26,47.0858861,10.6915525,1485.11,25,9.5,4.2,5
24.05.2019 00:01:09,47.1025608,10.6708565,1113.36,70,11.0,3,4
24.05.2019 04:01:04,47.1120610,10.6895292,-0.32,70,14.0,6.2,3
24.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,26.0,0,0
24.05.2019 12:01:06,47.1120586,10.6671818,1465.77,70,29.5,2.6,4
24.05.2019 16:00:34,47.1120698,10.6672174,1461.88,31,28.0,1.8,5
24.05.2019 20:00:33,47.1092854,10.6730836,1480.61,33,15.0,4,6
24.05.2019 22:00:18,47.0996216,10.6772122,1370.65,18,13.5,4.6,4
25.05.2019 00:00:57,47.0973049,10.6691068,1068.07,57,22.5,1.8,5
25.05.2019 04:00:58,47.0969924,10.6715576,1103.10,58,23.0,1.6,5
25.05.2019 08:01:10,47.0969217,10.6714694,1091.29,70,31.5,5,4
25.05.2019 12:01:08,47.1017499,10.6713055,28.64,70,30.0,2.2,4
25.05.2019 16:00:36,47.0974378,10.6707717,1098.02,36,28.0,1.6,6
25.05.2019 20:01:10,0.0000000,0.0000000,0.00,70,23.5,0,0
25.05.2019 22:00:35,47.0935665,10.6748976,1111.74,35,13.0,1.6,7
26.05.2019 00:01:10,47.0955175,10.6687677,975.64,70,13.5,4.6,4
26.05.2019 04:01:08,47.1010081,10.6817803,0.16,70,21.0,5.6,3
26.05.2019 08:01:08,47.0992890,10.6668875,992.75,70,24.0,5.6,4
26.05.2019 12:00:57,47.1029905,10.6669394,0.14,70,32.0,3.8,3
26.05.2019 16:00:51,47.0991894,10.6668116,970.27,52,29.5,2.6,5
26.05.2019 20:00:35,47.0957397,10.6679840,966.33,35,20.5,1,9
26.05.2019 22:00:05,47.0950256,10.6693568,996.44,6,15.0,2.8,5
27.05.2019 00:00:35,47.0934113,10.6697181,954.40,36,13.5,3,5
27.05.2019 04:01:08,47.0991292,10.6667112,966.93,70,20.5,2.2,4
27.05.2019 08:01:07,47.0991287,10.6665152,995.65,70,26.5,3.2,4
27.05.2019 12:01:07,47.0991453,10.6667604,995.31,70,28.5,2.4,4
27.05.2019 16:01:10,47.1098651,10.6460344,-0.12,70,32.5,9.2,3
27.05.2019 20:01:10,47.1064775,10.6647944,1179.65,70,29.0,5,4
27.05.2019 22:01:00,47.0957605,10.6692055,991.49,61,14.5,2,5
28.05.2019 00:00:36,47.0949601,10.6704667,1005.94,37,14.0,1.4,5
28.05.2019 04:01:03,47.0991035,10.6663162,991.43,70,29.5,2,4
28.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,28.0,0,0
28.05.2019 12:00:51,47.0990638,10.6667467,977.79,53,25.5,1.6,5
28.05.2019 16:00:33,47.0991674,10.6668504,968.45,35,23.5,1.6,6
28.05.2019 20:01:03,47.0959849,10.6667588,935.54,65,16.5,4.8,5
28.05.2019 22:00:24,47.0983511,10.6689882,938.12,26,9.5,3,4
29.05.2019 00:01:10,0.0000000,0.0000000,0.00,70,11.0,0,0
29.05.2019 04:01:07,47.0989469,10.6687630,0.14,70,23.5,2,3
29.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,27.0,0,0
29.05.2019 12:00:58,47.1065369,10.6648878,1139.39,60,33.5,1.6,5
29.05.2019 16:01:03,47.1066631,10.6649784,1156.39,70,21.0,3.8,4
29.05.2019 20:01:03,47.1159554,10.6658193,0.17,70,13.5,31.2,3
29.05.2019 22:01:09,47.0993883,10.6657337,910.13,70,16.0,5.2,4
30.05.2019 00:01:03,47.0954224,10.6693257,990.93,63,13.0,2.6,5
30.05.2019 04:00:51,47.0989908,10.6666853,949.83,51,19.0,1.4,5
30.05.2019 08:01:10,0.0000000,0.0000000,0.00,70,26.5,0,0
30.05.2019 12:00:35,47.1057812,10.6634042,990.87,34,27.0,1.4,5
30.05.2019 16:00:48,47.1064716,10.6634341,960.50,70,30.0,3,4
30.05.2019 20:00:35,47.1041880,10.6643876,995.76,34,22.0,3,5
30.05.2019 22:00:35,47.0950119,10.6725096,1087.96,35,11.0,1,8
31.05.2019 00:01:10,0.0000000,0.0000000,0.00,70,9.0,0,0
31.05.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
31.05.2019 08:00:33,47.1059583,10.6633806,1034.00,33,26.5,2,5
31.05.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
31.05.2019 16:01:06,47.1065514,10.6635030,1064.19,66,31.5,2.6,5
31.05.2019 20:00:34,47.1064770,10.6634325,1073.24,34,25.5,3.6,5
31.05.2019 22:00:36,47.1181516,10.6382570,1120.38,36,12.5,1,8
01.06.2019 00:00:37,47.1186620,10.6377569,1144.10,37,10.0,1.2,6
01.06.2019 04:01:08,47.1023025,10.6759828,0.22,70,29.0,4.4,3
01.06.2019 08:00:53,47.1001827,10.6657430,944.09,53,28.0,2,5
01.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,30.5,0,0
01.06.2019 16:00:34,47.1000418,10.6657871,980.48,35,31.5,1.6,6
01.06.2019 20:01:10,47.0972479,10.6688763,-0.42,70,21.5,4,3
01.06.2019 22:00:33,47.0945012,10.6721912,1072.48,34,14.0,1.2,8
02.06.2019 00:00:33,47.0946578,10.6696341,986.67,34,11.5,1.2,6
02.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.0,0,0
02.06.2019 08:00:52,47.1057564,10.6633827,1056.22,53,30.5,2,5
02.06.2019 12:01:01,47.1058844,10.6638249,896.95,70,30.0,1.8,4
02.06.2019 16:00:33,47.1062488,10.6642369,1029.93,34,31.0,3.4,5
02.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,21.0,0,0
02.06.2019 22:00:33,47.0950926,10.6711826,1026.38,34,15.5,1.4,7
03.06.2019 00:00:35,47.0969620,10.6688480,1021.60,36,14.5,2.2,5
03.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
03.06.2019 08:01:07,47.1128782,10.6686030,47.68,70,26.5,3.2,4
03.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,29.5,0,0
03.06.2019 16:00:33,47.1060552,10.6632868,1037.64,35,33.0,2.8,5
03.06.2019 20:01:07,47.1026680,10.6659036,860.67,70,24.0,5.2,4
03.06.2019 22:00:33,47.0942463,10.6721862,1068.79,35,18.5,1.2,8
04.06.2019 00:00:36,47.0948459,10.6701380,1012.28,37,17.5,1.2,6
04.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,12.5,0,0
04.06.2019 08:00:52,47.1057198,10.6636416,1057.28,54,26.5,2.2,5
04.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,31.0,0,0
04.06.2019 16:00:33,47.1058840,10.6635695,1079.90,35,32.5,1.6,5
04.06.2019 20:01:07,47.0979843,10.6653985,773.98,70,21.5,3.8,4
04.06.2019 22:00:35,47.0934515,10.6735080,1071.75,36,17.5,1.6,7
05.06.2019 00:00:35,47.0951818,10.6720675,1052.66,37,16.0,2.4,5
05.06.2019 04:01:07,47.1033998,10.6757088,0.17,70,17.5,3.8,3
05.06.2019 08:01:07,47.0949018,10.6763626,0.34,70,28.5,4,3
05.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,30.5,0,0
05.06.2019 16:00:46,47.1058492,10.6634532,1049.37,48,32.5,3.4,5
05.06.2019 20:01:06,47.0983561,10.6666799,948.52,70,23.0,5.8,4
05.06.2019 22:01:09,47.0952226,10.6701594,1012.95,70,19.5,5.8,4
06.06.2019 00:00:33,47.0935080,10.6693437,941.66,33,18.0,2.8,5
06.06.2019 04:01:09,47.0936968,10.6742637,1090.08,70,15.0,2.6,4
06.06.2019 08:01:08,47.1084690,10.6658780,609.50,70,27.0,3,4
06.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,29.0,0,0
06.06.2019 16:01:10,0.0000000,0.0000000,0.00,70,29.5,0,0
06.06.2019 20:00:37,47.0969374,10.6662218,923.12,37,19.0,3.8,5
06.06.2019 22:00:35,47.0934481,10.6691382,945.13,35,21.5,1.4,8
07.06.2019 00:01:01,47.0966909,10.6781729,-0.21,70,18.5,8.6,3
07.06.2019 04:01:09,47.0823113,10.6682162,0.37,70,22.0,10.6,3
