Product Type: Litetrack Iridium-150
Product ID: 91038
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
06.06.2019 22:00:26,46.6676229,10.2106795,1794.09,27,10.5,3.4,4
07.06.2019 00:00:33,46.6634684,10.2105742,1854.62,34,9.5,1,7
07.06.2019 04:01:08,46.6412185,10.1854868,1896.27,70,17.5,2.4,4
07.06.2019 08:01:10,46.6497040,10.1933638,0.20,70,26.0,0,0
07.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
07.06.2019 16:01:10,0.0000000,0.0000000,0.00,70,27.0,0,0
07.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
07.06.2019 22:01:03,46.6630873,10.2127247,1858.85,64,10.0,2,5
08.06.2019 00:00:33,46.6531467,10.1926807,1891.39,34,11.5,1.4,5
08.06.2019 04:01:07,46.6421626,10.1853100,1919.55,68,19.5,1.6,5
08.06.2019 08:00:37,46.6347254,10.1988004,0.43,70,22.5,4,3
08.06.2019 12:01:06,46.6430630,10.2278573,-0.07,70,27.0,8.4,3
08.06.2019 16:01:10,0.0000000,0.0000000,0.00,70,23.5,0,0
08.06.2019 20:01:03,46.6415211,10.1877242,1984.15,65,15.0,1.8,6
08.06.2019 22:00:38,46.6533136,10.1924619,1890.38,39,9.5,4,5
09.06.2019 00:00:36,46.6625246,10.2005312,1823.02,37,7.5,2.8,5
09.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,5.5,0,0
09.06.2019 08:01:07,46.6319308,10.1720408,-0.51,70,25.5,17.4,3
09.06.2019 12:01:05,46.6432729,10.2268488,-0.10,70,27.5,8.2,3
09.06.2019 16:01:10,46.6314007,10.2139992,0.13,70,26.0,7.4,3
09.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,29.0,0,0
09.06.2019 22:00:57,46.6634690,10.2104351,1850.43,59,10.5,2,6
10.06.2019 00:00:35,46.6634774,10.2095998,1850.92,36,11.0,1.4,6
10.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,20.5,0,0
10.06.2019 08:01:07,46.6410256,10.1854795,1919.28,70,27.0,3.4,4
10.06.2019 12:00:33,46.6416864,10.1923997,2098.84,35,21.0,1,7
10.06.2019 16:00:57,46.6427809,10.1915364,2080.19,59,19.0,4.2,5
10.06.2019 20:00:33,46.6511900,10.2070811,2333.30,35,11.5,1,9
10.06.2019 22:00:19,46.6634959,10.2102634,1853.10,21,11.5,3,6
11.06.2019 00:00:33,46.6634005,10.2112158,1852.11,35,13.0,2.2,6
11.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,14.0,0,0
11.06.2019 08:01:07,46.6487366,10.1943087,-0.04,70,23.0,3,3
11.06.2019 12:01:07,46.6438751,10.2249460,-0.04,70,28.5,7.8,3
11.06.2019 16:01:10,0.0000000,0.0000000,0.00,70,26.0,0,0
11.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,24.0,0,0
11.06.2019 22:01:10,0.0000000,0.0000000,0.00,70,11.0,0,0
12.06.2019 00:00:33,46.6635986,10.2102140,1846.45,36,10.0,1,7
12.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
12.06.2019 08:01:09,46.6503476,10.1993927,0.05,70,22.0,4.2,3
12.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,13.5,0,0
12.06.2019 16:01:10,46.6540948,10.1743796,1831.76,70,28.5,3.8,4
12.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
12.06.2019 22:00:33,46.6410381,10.1855039,1913.84,33,16.5,1.6,5
13.06.2019 00:00:35,46.6410193,10.1856166,1882.81,34,14.5,2.2,6
13.06.2019 04:01:10,0.0000000,0.0000000,0.00,70,13.5,0,0
13.06.2019 08:00:35,46.6410811,10.1854640,1910.70,34,15.0,2.4,5
13.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,23.0,0,0
13.06.2019 16:01:10,0.0000000,0.0000000,0.00,70,23.0,0,0
13.06.2019 20:00:33,46.6410499,10.1854993,1918.10,33,18.5,2.8,5
13.06.2019 22:00:33,46.6410381,10.1855039,1913.84,33,11.0,1,8
14.06.2019 00:00:51,46.6410566,10.1854663,1906.39,51,18.0,2.6,5
14.06.2019 04:00:33,46.6410524,10.1854979,1910.97,33,21.0,1.4,5
14.06.2019 08:00:34,46.6409183,10.1843799,1872.78,34,17.0,1.8,6
14.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,23.5,0,0
14.06.2019 16:00:33,46.6426842,10.1849795,1922.55,34,24.5,1.8,6
14.06.2019 20:00:33,46.6633422,10.2088721,1849.98,34,16.0,1.4,8
14.06.2019 22:00:13,46.6618248,10.2002798,1871.71,14,12.5,14.6,4
15.06.2019 00:00:33,46.6631343,10.2114299,1844.29,34,12.0,2.8,5
15.06.2019 04:01:10,46.6168849,10.1713933,0.41,70,12.5,7.6,3
15.06.2019 08:01:10,0.0000000,0.0000000,0.00,70,21.5,0,0
15.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
15.06.2019 16:00:35,46.6415382,10.1938390,2110.27,35,22.5,1,7
15.06.2019 20:00:35,46.6410890,10.1853032,1929.13,35,24.5,1.8,6
15.06.2019 22:01:10,0.0000000,0.0000000,0.00,70,11.5,0,0
16.06.2019 00:00:35,46.6410857,10.1855431,1895.08,35,18.0,1.6,6
